name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
8159 sideroad 30 ,2021-01-01,-0.6,-9.7,-3.9,-4.4,-12.8,-7.6,-5.7,87.3,1.794,100,29.17,"rain,snow",2.7,5.0,47.2,28.2,87.0,1025.0,63.6,10.1,30.3,2.6,2,,2021-01-01T07:55:03,2021-01-01T16:55:10,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-02,-0.2,-3.2,-1.7,-0.2,-4.8,-2.2,-3.0,90.6,5.273,100,33.33,"rain,snow",1.6,8.0,34.6,13.2,351.8,1016.0,79.2,12.5,14.5,1.3,1,,2021-01-02T07:55:05,2021-01-02T16:56:05,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-03,-0.4,-3.0,-1.5,-0.5,-5.1,-2.9,-2.3,94.1,3.961,100,33.33,"rain,snow",1.2,8.0,23.4,7.9,32.0,1016.0,93.4,8.9,24.7,2.1,2,,2021-01-03T07:55:04,2021-01-03T16:57:02,0.66,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-04,0.4,-1.8,-1.0,-1.1,-5.9,-3.9,-2.2,91.4,0.009,100,4.17,"rain,snow",0.7,9.2,17.6,15.3,250.1,1016.8,93.7,11.5,28.6,2.4,2,,2021-01-04T07:55:01,2021-01-04T16:58:00,0.7,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-05,-0.1,-1.5,-1.0,-0.1,-4.7,-1.7,-2.3,90.6,0.0,0,0.0,"rain,snow",4.8,11.8,14.0,9.7,11.6,1016.7,96.9,6.6,24.5,2.1,1,,2021-01-05T07:54:55,2021-01-05T16:59:00,0.73,Overcast,Cloudy skies throughout the day.,cloudy,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-06,0.1,-4.4,-1.4,-1.6,-7.7,-5.1,-3.9,83.2,0.053,100,8.33,"rain,snow",0.1,13.4,37.8,20.9,326.8,1025.0,74.7,13.1,77.1,6.4,4,,2021-01-06T07:54:47,2021-01-06T17:00:02,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-07,-0.6,-9.9,-3.5,-3.9,-10.2,-7.6,-7.4,75.2,0.0,0,0.0,,0.0,12.4,33.3,23.5,5.1,1027.5,57.6,14.7,95.1,8.1,5,,2021-01-07T07:54:36,2021-01-07T17:01:05,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-08,-2.4,-11.3,-7.5,-5.6,-16.8,-11.4,-12.0,72.1,0.0,0,0.0,,0.0,9.3,27.0,13.4,2.5,1023.8,29.9,15.9,105.6,9.0,5,,2021-01-08T07:54:23,2021-01-08T17:02:09,0.84,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"71352099999,CZEL,71368099999,71624099999,CWLS,CXHM,71631099999,71263099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-09,1.1,-6.1,-3.8,1.1,-11.3,-7.6,-9.5,66.8,0.026,100,4.17,"rain,snow",0.0,7.6,27.0,15.6,328.8,1023.6,46.1,14.7,100.5,8.8,4,,2021-01-09T07:54:07,2021-01-09T17:03:15,0.88,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-10,-0.6,-7.0,-3.1,-4.0,-9.9,-6.7,-5.3,85.1,0.0,0,0.0,,0.0,7.6,28.1,18.9,290.1,1026.4,60.8,13.4,59.6,5.1,3,,2021-01-10T07:53:49,2021-01-10T17:04:23,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-11,-2.5,-7.5,-4.4,-5.8,-10.0,-8.2,-6.1,88.3,0.006,100,4.17,snow,4.3,10.2,41.6,26.6,235.0,1023.3,86.8,7.3,27.9,2.3,1,,2021-01-11T07:53:28,2021-01-11T17:05:31,0.95,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"71352099999,71297099999,CZEL,71368099999,71624099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-12,-2.8,-4.4,-3.5,-6.4,-10.0,-8.2,-4.5,92.7,0.002,100,4.17,snow,0.0,11.7,32.0,19.3,228.9,1019.6,99.1,5.6,15.8,1.3,1,,2021-01-12T07:53:05,2021-01-12T17:06:41,0.98,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
8159 sideroad 30 ,2021-01-13,0.2,-3.0,-1.3,-3.6,-7.5,-5.7,-2.5,91.5,0.392,100,12.5,"rain,snow",0.0,11.6,41.4,22.5,218.6,1011.2,91.4,7.4,41.7,3.5,3,,2021-01-13T07:52:40,2021-01-13T17:07:52,0.0,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"71352099999,CZEL,71368099999,CWLS,71631099999,F5184,71833099999"
