name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
8159 sideroad 30 ,2015-01-01,-4.1,-9.8,-7,-11.3,-19.5,-15.7,-10.8,74.5,2.578,100,33.33,snow,1.3,1,53.5,38,240.6,1011.9,95.4,14.3,50.8,4.4,2,,2015-01-01T07:55:01,2015-01-01T16:54:42,0.38,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,71833099999"
8159 sideroad 30 ,2015-01-02,-3.5,-10.1,-5.9,-8,-14.1,-10.9,-9.2,78.1,2.192,100,20.83,snow,0.6,2,40.8,26.9,280.2,1022.8,38.5,13.3,80.4,6.9,4,,2015-01-02T07:55:04,2015-01-02T16:55:36,0.41,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,71833099999"
8159 sideroad 30 ,2015-01-03,0,-10.1,-3.6,0,-14,-7.4,-4.9,90.2,5.309,100,58.33,"rain,snow",0.6,2,36.9,24.4,105.2,1020.5,82.5,9.6,14.4,1.2,1,,2015-01-03T07:55:04,2015-01-03T16:56:31,0.45,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,71833099999"
8159 sideroad 30 ,2015-01-04,1.3,-7.4,-1.2,0,-16.3,-4.6,-1.6,96.3,10.506,100,75,"rain,snow",1,2.9,49.9,34.4,281.5,1005.2,99.9,6.1,26.5,2.4,2,,2015-01-04T07:55:02,2015-01-04T16:57:29,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,71833099999"
8159 sideroad 30 ,2015-01-05,-7.8,-15.3,-13,-17.1,-26.2,-23.4,-15.7,80.9,1.087,100,29.17,snow,0.4,3.6,58.7,39.4,269.1,1024.8,70.9,10.3,75.3,6.5,3,,2015-01-05T07:54:58,2015-01-05T16:58:28,0.52,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,71833099999"
8159 sideroad 30 ,2015-01-06,-10.8,-14.6,-12.6,-19.1,-23.4,-20.9,-14.9,83.3,1.282,100,25,snow,1.1,3.8,44.2,29.8,241.8,1020.4,82.1,10.7,64.3,5.6,3,,2015-01-06T07:54:51,2015-01-06T16:59:29,0.55,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,71833099999"
8159 sideroad 30 ,2015-01-07,-11.4,-20.8,-16.7,-18.6,-30.8,-25.8,-20.3,74.2,0.655,100,29.17,snow,0.6,4.9,47.9,31.6,315.1,1021.5,40.5,11.3,84.8,7.3,4,,2015-01-07T07:54:41,2015-01-07T17:00:31,0.58,"Snow, Partially cloudy",Clearing in the afternoon with snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,71833099999"
8159 sideroad 30 ,2015-01-08,-11.6,-19.8,-14,-21.5,-26,-24.3,-16.4,82.7,0.558,100,33.33,snow,1.2,5.4,54.9,39.5,230.4,1020,91.3,5.8,66.1,5.7,3,,2015-01-08T07:54:29,2015-01-08T17:01:35,0.61,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,71833099999"
8159 sideroad 30 ,2015-01-09,-8.8,-14.9,-11.5,-18.6,-26.2,-21.5,-13.8,83,0.681,100,50,snow,2.8,7.6,57.3,36.1,253,1011.7,77.1,5.8,81.1,7.1,4,,2015-01-09T07:54:15,2015-01-09T17:02:40,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,71833099999"
8159 sideroad 30 ,2015-01-10,-12.7,-16.9,-14.9,-21.2,-27.7,-24.8,-17.8,78.5,1.177,100,12.5,snow,1.3,10.3,45.4,32.6,239.5,1026.1,42.4,11.9,83,7.2,4,,2015-01-10T07:53:58,2015-01-10T17:03:46,0.68,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,71833099999"
8159 sideroad 30 ,2015-01-11,-2.9,-12.2,-6.4,-8.3,-20.1,-12.7,-10.8,71.5,0.009,100,4.17,snow,0,9.8,36.4,22.9,223.8,1027.1,75.7,14,93.5,8,4,,2015-01-11T07:53:39,2015-01-11T17:04:54,0.71,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,71833099999"
