Crop,Year,Yield,levels
Flaxseed,2013,57.093849834164864,Property
Flaxseed,2014,57.182492665476616,Property
Flaxseed,2015,59.709728691856675,Property
Flaxseed,2016,62.60013960824319,Property
Flaxseed,2017,63.09968695800823,Property
Flaxseed,2018,65.64489323666655,Property
Flaxseed,2019,67.17309583366445,Property
Flaxseed,2020,71.52510637139258,Property
Flaxseed,2021,73.16400969286308,Property
Flaxseed,2022,72.81567207411553,Property
Flaxseed,2023,74.99013265195006,Property
Flaxseed,2024,76.56277842441384,Property
Flaxseed,2025,76.96071842636326,Property
Flaxseed,2026,78.3349145396147,Property
Flaxseed,2027,81.35496619232362,Property
Flaxseed,2028,82.39484016652838,Property
Flaxseed,2029,82.77210311867194,Property
Flaxseed,2030,84.97952664471593,Property
Flaxseed,2031,85.95118843395399,Property
Flaxseed,2032,86.88624791548773,Property
Flaxseed,2033,88.3772376820904,Property
Flaxseed,2034,89.73077791678779,Property
Flaxseed,2035,92.21913605067039,Property
Flaxseed,2036,92.16807426427042,Property
Flaxseed,2037,93.40952588531286,Property
Flaxseed,2038,92.48367698182642,Property
Flaxseed,2039,95.70631650801403,Property
Flaxseed,2040,94.62387013767633,Property
Flaxseed,2041,94.73403875858261,Property
Flaxseed,2042,96.570558759106,Property
Flaxseed,2043,99.5201298218652,Property
Flaxseed,2044,100.595098639714,Property
Flaxseed,2045,101.86868954589639,Property
Flaxseed,2046,102.05436229593869,Property
Flaxseed,2047,104.20594555610077,Property
Flaxseed,2048,104.70295858123025,Property
Flaxseed,2049,107.74987399856792,Property
Flaxseed,2050,109.57144467345887,Property
Flaxseed,2051,110.89985159619295,Property
Flaxseed,2052,113.26292229635621,Property
Flaxseed,2053,114.26499442003183,Property
Flaxseed,2054,116.66580301673255,Property
Flaxseed,2055,115.82069478435817,Property
Flaxseed,2056,116.74565684261768,Property
Flaxseed,2057,117.83233730750658,Property
Flaxseed,2058,119.22670796412464,Property
Flaxseed,2059,120.99476899442759,Property
Flaxseed,2060,120.36287371616017,Property
Flaxseed,2061,120.83145014029955,Property
Flaxseed,2062,122.07524007087308,Property
Flaxseed,2063,124.74561834924857,Property
Flaxseed,2064,129.46397427823564,Property
Flaxseed,2065,131.83792745840438,Property
Flaxseed,2066,137.1646139125194,Property
Flaxseed,2067,138.3614392434729,Property
Flaxseed,2068,138.92377054128167,Property
Flaxseed,2069,141.67084310320277,Property
Flaxseed,2070,142.41313644335617,Property
Flaxseed,2071,143.18682510450574,Property
Flaxseed,2072,143.5318220374575,Property
Flaxseed,2073,143.7154351900466,Property
Flaxseed,2074,146.47201397230086,Property
Flaxseed,2075,146.03120493117362,Property
Flaxseed,2076,148.80267227645783,Property
Flaxseed,2077,150.40892931038906,Property
Flaxseed,2078,152.35895951589532,Property
Flaxseed,2079,154.37164632182203,Property
Flaxseed,2080,158.251057704537,Property
Flaxseed,2081,159.5299039629704,Property
Flaxseed,2082,159.71267303989654,Property
Flaxseed,2083,162.14468159948095,Property
Flaxseed,2084,164.9064121851229,Property
Flaxseed,2085,167.63024739188387,Property
Flaxseed,2086,167.3459763005127,Property
Flaxseed,2087,167.94473186501278,Property
Flaxseed,2088,169.6917824504507,Property
Flaxseed,2089,170.19487460402502,Property
Flaxseed,2090,168.87624480466081,Property
Flaxseed,2091,167.87879275741562,Property
Flaxseed,2092,169.01421681154636,Property
Flaxseed,2093,170.7199254535279,Property
Flaxseed,2094,170.85257657317845,Property
Flaxseed,2095,171.23214303832938,Property
Flaxseed,2096,173.97760635365427,Property
Flaxseed,2097,174.53130195226132,Property
Flaxseed,2098,175.6284837522108,Property
Flaxseed,2099,178.17979028799408,Property
Flaxseed,2100,179.60461352880986,Property
Flaxseed,2101,183.97495085081437,Property
Flaxseed,2013,41.805519466398984,Neighbourhood
Flaxseed,2014,44.99559968413128,Neighbourhood
Flaxseed,2015,47.22128487912566,Neighbourhood
Flaxseed,2016,48.132876175434546,Neighbourhood
Flaxseed,2017,51.332500544025386,Neighbourhood
Flaxseed,2018,55.31633717940381,Neighbourhood
Flaxseed,2019,56.95755911393469,Neighbourhood
Flaxseed,2020,58.35411860185063,Neighbourhood
Flaxseed,2021,59.20648575550282,Neighbourhood
Flaxseed,2022,61.52819915414692,Neighbourhood
Flaxseed,2023,63.72733914245856,Neighbourhood
Flaxseed,2024,66.02707032984551,Neighbourhood
Flaxseed,2025,66.13611926015463,Neighbourhood
Flaxseed,2026,67.22477071871947,Neighbourhood
Flaxseed,2027,69.36894043378851,Neighbourhood
Flaxseed,2028,68.8483455922835,Neighbourhood
Flaxseed,2029,73.7063302077855,Neighbourhood
Flaxseed,2030,73.16274835243068,Neighbourhood
Flaxseed,2031,75.62908174133383,Neighbourhood
Flaxseed,2032,76.47591239017098,Neighbourhood
Flaxseed,2033,75.2199301927754,Neighbourhood
Flaxseed,2034,77.52286219375617,Neighbourhood
Flaxseed,2035,80.56234622591955,Neighbourhood
Flaxseed,2036,83.12243924957397,Neighbourhood
Flaxseed,2037,84.3441695821596,Neighbourhood
Flaxseed,2038,87.14286657451981,Neighbourhood
Flaxseed,2039,91.47033338403055,Neighbourhood
Flaxseed,2040,94.17320413500701,Neighbourhood
Flaxseed,2041,95.81809158392915,Neighbourhood
Flaxseed,2042,98.51255034851664,Neighbourhood
Flaxseed,2043,98.66678677919334,Neighbourhood
Flaxseed,2044,102.28656425903304,Neighbourhood
Flaxseed,2045,101.45818721788531,Neighbourhood
Flaxseed,2046,105.43442945349035,Neighbourhood
Flaxseed,2047,106.82334997188885,Neighbourhood
Flaxseed,2048,110.67996490899637,Neighbourhood
Flaxseed,2049,112.94752751428454,Neighbourhood
Flaxseed,2050,116.05640720122558,Neighbourhood
Flaxseed,2051,115.98787623371584,Neighbourhood
Flaxseed,2052,119.54748520202214,Neighbourhood
Flaxseed,2053,122.15739552328837,Neighbourhood
Flaxseed,2054,126.43855782585774,Neighbourhood
Flaxseed,2055,130.47896052698695,Neighbourhood
Flaxseed,2056,132.28391918109867,Neighbourhood
Flaxseed,2057,134.01301508268665,Neighbourhood
Flaxseed,2058,136.49407393383026,Neighbourhood
Flaxseed,2059,138.11565358101288,Neighbourhood
Flaxseed,2060,139.95016366242743,Neighbourhood
Flaxseed,2061,142.16615298178723,Neighbourhood
Flaxseed,2062,142.20561003351568,Neighbourhood
Flaxseed,2063,144.76973058898835,Neighbourhood
Flaxseed,2064,148.65096939974694,Neighbourhood
Flaxseed,2065,149.66257399719126,Neighbourhood
Flaxseed,2066,152.16466203749218,Neighbourhood
Flaxseed,2067,154.48637183032054,Neighbourhood
Flaxseed,2068,158.08099712739585,Neighbourhood
Flaxseed,2069,158.77800609212989,Neighbourhood
Flaxseed,2070,159.1601538509645,Neighbourhood
Flaxseed,2071,163.21403578186334,Neighbourhood
Flaxseed,2072,163.57815258097918,Neighbourhood
Flaxseed,2073,165.5901694635387,Neighbourhood
Flaxseed,2074,166.6016466219799,Neighbourhood
Flaxseed,2075,168.9466958546571,Neighbourhood
Flaxseed,2076,173.06314253136645,Neighbourhood
Flaxseed,2077,175.84602168928242,Neighbourhood
Flaxseed,2078,176.42257221295387,Neighbourhood
Flaxseed,2079,178.13947656744043,Neighbourhood
Flaxseed,2080,179.80357311289083,Neighbourhood
Flaxseed,2081,182.17990274296116,Neighbourhood
Flaxseed,2082,183.11948426386755,Neighbourhood
Flaxseed,2083,184.6890898947782,Neighbourhood
Flaxseed,2084,186.9569347153913,Neighbourhood
Flaxseed,2085,189.07731837961225,Neighbourhood
Flaxseed,2086,190.84530825446964,Neighbourhood
Flaxseed,2087,191.24298601535816,Neighbourhood
Flaxseed,2088,191.5651038970113,Neighbourhood
Flaxseed,2089,194.40594470174563,Neighbourhood
Flaxseed,2090,194.97574245074995,Neighbourhood
Flaxseed,2091,198.02011146848406,Neighbourhood
Flaxseed,2092,200.31568235711512,Neighbourhood
Flaxseed,2093,201.7825721102429,Neighbourhood
Flaxseed,2094,205.18841559622354,Neighbourhood
Flaxseed,2095,205.68913623333003,Neighbourhood
Flaxseed,2096,205.71005089305916,Neighbourhood
Flaxseed,2097,207.15926820974147,Neighbourhood
Flaxseed,2098,208.90678246839408,Neighbourhood
Flaxseed,2099,209.40255626846564,Neighbourhood
Flaxseed,2100,211.1155864989605,Neighbourhood
Flaxseed,2101,212.31339873068714,Neighbourhood
Flaxseed,2013,40.880294149717265,National
Flaxseed,2014,43.43056706586397,National
Flaxseed,2015,43.94031976825112,National
Flaxseed,2016,44.29653925043017,National
Flaxseed,2017,46.63627938944706,National
Flaxseed,2018,47.54838566369455,National
Flaxseed,2019,49.23646658272811,National
Flaxseed,2020,48.84978415530913,National
Flaxseed,2021,52.08088131172087,National
Flaxseed,2022,53.516478459524166,National
Flaxseed,2023,55.07161696298899,National
Flaxseed,2024,55.25667225499308,National
Flaxseed,2025,57.217340744983375,National
Flaxseed,2026,59.6117657810731,National
Flaxseed,2027,60.83665706668668,National
Flaxseed,2028,64.32773954288847,National
Flaxseed,2029,65.53990478880017,National
Flaxseed,2030,68.93633541555117,National
Flaxseed,2031,71.15559256556006,National
Flaxseed,2032,73.33648621394413,National
Flaxseed,2033,76.15599127721799,National
Flaxseed,2034,78.2831335519548,National
Flaxseed,2035,80.93035662666392,National
Flaxseed,2036,83.71849888880885,National
Flaxseed,2037,84.86128158234519,National
Flaxseed,2038,86.35385814156864,National
Flaxseed,2039,87.42159245431135,National
Flaxseed,2040,89.75325794871466,National
Flaxseed,2041,91.11773244005022,National
Flaxseed,2042,91.31770974562679,National
Flaxseed,2043,91.6846168144684,National
Flaxseed,2044,92.7606063898462,National
Flaxseed,2045,95.26453266403908,National
Flaxseed,2046,98.94439625254418,National
Flaxseed,2047,101.477378500344,National
Flaxseed,2048,102.73524715459453,National
Flaxseed,2049,104.9701579730498,National
Flaxseed,2050,108.07864513899636,National
