name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
8159 sideroad 30 ,2019-01-01,4.8,-9.1,-2.8,0.5,-13.7,-8,-4.5,88.1,2.138,100,33.33,"rain,snow",0,0.2,58.3,28.6,318,1016,91.2,14.6,55.6,4.7,4,,2019-01-01T07:55:00,2019-01-01T16:54:42,0.85,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"71352099999,CZEL,71368099999,71624099999,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-02,-3.1,-11.3,-7.5,-3.1,-15,-11,-8.9,89.6,1.953,100,37.5,snow,2.7,1,28.4,12.4,124.3,1022.2,68.3,12,29.8,2.6,1,,2019-01-02T07:55:03,2019-01-02T16:55:36,0.88,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71352099999,CZEL,71368099999,D8043,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-03,-1.5,-3.5,-2.2,-3.5,-9.4,-7.9,-4.4,85.1,2.77,100,25,"rain,snow",1.6,4.1,40.7,27.2,251.8,1013.3,87.9,13.8,23.7,2,1,,2019-01-03T07:55:04,2019-01-03T16:56:32,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-04,4.3,-3.3,-0.5,1.7,-8.7,-4.1,-2.5,86.5,0.718,100,12.5,"rain,snow",0,3.4,44.3,18.2,229.6,1008.1,1.3,13.8,83.4,7.2,4,,2019-01-04T07:55:02,2019-01-04T16:57:29,0.95,"Snow, Rain",Clear conditions throughout the day with rain or snow clearing later.,rain,"71352099999,CZEL,71368099999,D8043,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-05,2,-4,-0.8,-0.5,-8.2,-4,-1.5,95,0.39,100,4.17,"rain,snow",0,1.9,45.4,18.2,281.5,1006.3,50.2,7,34.3,3.1,2,,2019-01-05T07:54:57,2019-01-05T16:58:28,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"71352099999,CZEL,71368099999,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-06,2,-7.7,-1.9,-3.1,-13.5,-7.5,-5.5,77.1,2.24,100,20.83,"rain,snow",0,1.2,49.2,30.9,340,1021.6,77.2,14.2,58,4.9,4,,2019-01-06T07:54:50,2019-01-06T16:59:29,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"71352099999,CZEL,71368099999,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-07,2.1,-8.7,-5,-2.7,-16,-11.8,-7.4,83.4,5.726,100,33.33,"rain,snow",0,0.8,50,36.3,113.8,1021,99.9,14.4,14,1,1,,2019-01-07T07:54:41,2019-01-07T17:00:32,0.05,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"71352099999,CZEL,71368099999,D0200,71624099999,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-08,6.5,0,3.5,4,-5,0.7,2.4,93.1,2.712,100,33.33,"rain,snow",0,0.3,42.8,25.6,257.8,1004.9,99.9,12.2,25.1,2.2,1,,2019-01-08T07:54:29,2019-01-08T17:01:35,0.09,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"71352099999,CZEL,71368099999,71624099999,CWLS,CXHM,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-09,0.3,-7.4,-3.3,-5.1,-16,-10.4,-5.3,86.3,1.487,100,50,"rain,snow",1.6,0.7,54.2,35.4,302.2,1009.1,94.6,13,45.7,4,3,,2019-01-09T07:54:14,2019-01-09T17:02:41,0.12,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"71352099999,CZEL,71368099999,D0200,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-10,-7.1,-12.7,-9.8,-15.2,-21,-18.3,-12.4,81,1.061,100,8.33,snow,0.8,2.2,50.8,36,320,1020.2,91.1,11.4,81.2,6.9,4,,2019-01-10T07:53:57,2019-01-10T17:03:47,0.15,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71352099999,CZEL,71368099999,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-11,-8.9,-14.6,-11.5,-8.9,-21.2,-15.6,-15.3,74.3,0,0,0,snow,0.3,2.3,32.4,15.9,331.1,1029.7,53.9,14.7,88.5,7.6,4,,2019-01-11T07:53:38,2019-01-11T17:04:55,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-12,-5.6,-10.9,-8.1,-8.1,-17.6,-11.6,-12.2,72.5,0,0,0,snow,0.2,2.6,22.7,14.1,72.6,1033.4,87.2,14.7,53,4.6,3,,2019-01-12T07:53:16,2019-01-12T17:06:05,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-13,-6.5,-12.6,-10.2,-12.4,-19.5,-16.5,-14.7,70.5,0,0,0,,0,2.4,33.1,21.7,70.4,1031.3,27.2,14.7,92,8,4,,2019-01-13T07:52:52,2019-01-13T17:07:15,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"71352099999,CZEL,71368099999,CWLS,71631099999,AV116,71833099999"
8159 sideroad 30 ,2019-01-14,-5,-11.7,-7.6,-6.3,-15,-10.9,-9.3,87.8,0.624,100,4.17,snow,0,2.2,24.1,14.7,271.4,1025.9,71.6,13.3,83.3,7.2,4,,2019-01-14T07:52:25,2019-01-14T17:08:27,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"71352099999,CZEL,71368099999,D0200,D8043,CWLS,71631099999,AV116,71833099999"
